combo,cell_count,removed,brain_region
PM-UM_HBRH-BLM0-DMNX-RSN,3318,kept,DMNX
PM-UM_HCTZZL-BLM0-PFC-RSN,1820,kept,PFC
PM-UD_11363_001-BLM0-PVC-RSN,3086,kept,PVC
PM-UD_11412_001-BLM0-PMC-RSN,6752,kept,PMC
PM-UM_BEB18140-BLM0-DMNX-RSN,4889,kept,DMNX
PM-UM_HZC-BLM0-GPI-RSN,4058,kept,GPI
PM-UM_HCTBY-BLM0-PFC-RSN,6775,kept,PFC
PM-MS_69779-BLM0-GPI-RSN,1561,kept,GPI
PM-UD_11363_001-BLM0-GPI-RSN,5726,kept,GPI
PM-UM_BEB19010-BLM0-PFC-RSN,8636,kept,PFC
PM-UM_BEB19108-BLM0-PMC-RSN,5174,kept,PMC
PM-UM_HCTBY-BLM0-PVC-RSN,7659,kept,PVC
PM-UD_11412_001-BLM0-DMNX-RSN,3705,kept,DMNX
PM-MS_70978-BLM0-GPI-RSN,1721,kept,GPI
PM-MS_17629-BLM0-PFC-RSN,12735,kept,PFC
PM-UD_11609_001-BLM0-DMNX-RSN,4567,kept,DMNX
PM-UD_11327_001-BLM0-GPI-RSN,5139,kept,GPI
PM-UM_HBHQ-BLM0-PMC-RSN,3159,kept,PMC
PM-UM_HCTTO-BLM0-PVC-RSN,5511,kept,PVC
PM-MS_616180-BLM0-PVC-RSN,2438,kept,PVC
PM-MS_64111-BLM0-PFC-RSN,3469,kept,PFC
PM-MS_114382-BLM0-GPI-RSN,4365,kept,GPI
PM-UD_11610_001-BLM0-GPI-RSN,3563,kept,GPI
PM-UM_BEB20006-BLM0-PMC-RSN,5558,kept,PMC
PM-UM_BEB20013-BLM0-DMNX-RSN,6811,kept,DMNX
PM-UM_HCTWJ-BLM0-PVC-RSN,7280,kept,PVC
PM-MS_29270-BLM0-PMC-RSN,4692,kept,PMC
PM-UD_11604_001-BLM0-PFC-RSN,7210,kept,PFC
PM-UD_11334_001-BLM0-GPI-RSN,5991,kept,GPI
PM-UM_HCTZZL-BLM0-DMNX-RSN,6284,kept,DMNX
PM-UM_HTM-BLM0-PVC-RSN,3125,kept,PVC
PM-UM_HBRI-BLM0-PMC-RSN,1511,kept,PMC
PM-MS_616180-BLM0-PFC-RSN,6563,kept,PFC
PM-UD_40312_001-BLM0-PFC-RSN,7074,kept,PFC
PM-UD_40301_001-BLM0-PMC-RSN,6025,kept,PMC
PM-UM_HBHQ-BLM0-DMNX-RSN,2524,kept,DMNX
PM-UM_HCTTO-BLM0-GPI-RSN,4534,kept,GPI
PM-MS_70978-BLM0-PMC-RSN,1714,kept,PMC
PM-MS_85716-BLM0-PFC-RSN,4626,kept,PFC
PM-UD_11363_001-BLM0-DMNX-RSN,3796,kept,DMNX
PM-UD_11412_001-BLM0-PVC-RSN,6635,kept,PVC
PM-UM_BEB18140-BLM0-GPI-RSN,6924,kept,GPI
PM-UM_BEB19108-BLM0-PFC-RSN,4952,kept,PFC
PM-UM_HCTBY-BLM0-PMC-RSN,7217,kept,PMC
PM-MS_17629-BLM0-PVC-RSN,12495,kept,PVC
PM-UD_11494_001-BLM0-PVC-RSN,9045,kept,PVC
PM-UM_BEB19010-BLM0-GPI-RSN,7608,kept,GPI
PM-UM_HBOQ-BLM0-PFC-RSN,7966,kept,PFC
PM-UD_11466_001-BLM0-DMNX-RSN,4635,kept,DMNX
PM-UM_BEB19157-BLM0-PMC-RSN,5113,kept,PMC
PM-MS_92697-BLM0-GPI-RSN,6844,kept,GPI
PM-UD_11659_001-BLM0-GPI-RSN,5414,kept,GPI
PM-UD_11327_001-BLM0-PFC-RSN,9364,kept,PFC
PM-UM_HCTNJ-BLM0-DMNX-RSN,9357,kept,DMNX
PM-MS_458379-BLM0-DMNX-RSN,1621,kept,DMNX
PM-MS_64111-BLM0-GPI-RSN,5539,kept,GPI
PM-UD_11610_001-BLM0-PVC-RSN,6041,kept,PVC
PM-UD_11197_001-BLM0-DMNX-RSN,4286,kept,DMNX
PM-UM_BEB19126-BLM0-GPI-RSN,5864,kept,GPI
PM-UM_BEB20013-BLM0-PMC-RSN,7589,kept,PMC
PM-UM_HCTWJ-BLM0-PFC-RSN,4395,kept,PFC
PM-MS_202387-BLM0-GPI-RSN,1910,kept,GPI
PM-UD_11614_102-BLM0-GPI-RSN,2852,kept,GPI
PM-UD_11334_001-BLM0-DMNX-RSN,1683,kept,DMNX
PM-UM_HCTWJ-BLM0-GPI-RSN,1048,kept,GPI
PM-UM_BEB20006-BLM0-DMNX-RSN,1145,kept,DMNX
PM-UD_11406_001-BLM0-PFC-RSN,5907,kept,PFC
PM-UD_11689_001-BLM0-PMC-RSN,3391,kept,PMC
PM-UD_11353_001-BLM0-PMC-RSN,5306,kept,PMC
PM-UM_BEB20014-BLM0-DMNX-RSN,2473,kept,DMNX
PM-UM_HBRE-BLM0-PVC-RSN,6142,kept,PVC
PM-UD_11363_001-BLM0-PMC-RSN,5948,kept,PMC
PM-UD_11412_001-BLM0-PFC-RSN,7196,kept,PFC
PM-UM_BEB18140-BLM0-PVC-RSN,8319,kept,PVC
PM-UM_HZC-BLM0-DMNX-RSN,4049,kept,DMNX
PM-UM_HCTZZM-BLM0-GPI-RSN,7079,kept,GPI
PM-UD_11609_001-BLM0-PFC-RSN,5077,kept,PFC
PM-UM_HCTNJ-BLM0-GPI-RSN,3167,kept,GPI
PM-MS_458379-BLM0-PVC-RSN,1739,kept,PVC
PM-MS_17629-BLM0-GPI-RSN,2998,kept,GPI
PM-UD_11327_001-BLM0-PMC-RSN,3612,kept,PMC
PM-MS_458379-BLM0-PMC-RSN,3713,kept,PMC
PM-UD_11609_001-BLM0-PVC-RSN,8667,kept,PVC
PM-UD_11327_001-BLM0-DMNX-RSN,4848,kept,DMNX
PM-UM_HBHQ-BLM0-PFC-RSN,3202,kept,PFC
PM-UM_HCTTO-BLM0-PMC-RSN,6602,kept,PMC
PM-MS_30944-BLM0-PMC-RSN,885,kept,PMC
PM-MS_840752-BLM0-DMNX-RSN,1660,kept,DMNX
PM-UD_1052_001-BLM0-PFC-RSN,5623,kept,PFC
PM-UD_40312_001-BLM0-GPI-RSN,5550,kept,GPI
PM-UM_BEB19139-BLM0-PVC-RSN,5865,kept,PVC
PM-UM_BEB18119-BLM0-DMNX-RSN,1109,kept,DMNX
PM-MS_85716-BLM0-PVC-RSN,2636,kept,PVC
PM-UD_11494_001-BLM0-PFC-RSN,6960,kept,PFC
PM-UM_BEB19010-BLM0-PVC-RSN,4187,kept,PVC
PM-UM_HCTBY-BLM0-GPI-RSN,5868,kept,GPI
PM-UM_BEB19108-BLM0-DMNX-RSN,2337,kept,DMNX
PM-UD_11466_001-BLM0-PMC-RSN,3963,kept,PMC
PM-MS_29270-BLM0-DMNX-RSN,1127,kept,DMNX
PM-MS_616180-BLM0-GPI-RSN,2495,kept,GPI
PM-MS_17629-BLM0-DMNX-RSN,3283,kept,DMNX
PM-UD_40312_001-BLM0-PMC-RSN,6371,kept,PMC
PM-UD_40301_001-BLM0-PVC-RSN,7143,kept,PVC
PM-UM_BEB18119-BLM0-PFC-RSN,5627,kept,PFC
PM-UM_HBHQ-BLM0-GPI-RSN,1567,kept,GPI
PM-MS_458379-BLM0-GPI-RSN,1316,kept,GPI
PM-UD_11609_001-BLM0-PMC-RSN,2946,kept,PMC
PM-UD_11327_001-BLM0-PVC-RSN,3259,kept,PVC
PM-UM_HCTTO-BLM0-PFC-RSN,2673,kept,PFC
PM-MS_46475-BLM0-GPI-RSN,603,kept,GPI
PM-UM_HABI-BLM0-PMC-RSN,6489,kept,PMC
PM-UM_HBHE-BLM0-PFC-RSN,5030,kept,PFC
PM-UM_HBRH-BLM0-PFC-RSN,3443,kept,PFC
PM-UM_HCTIX-BLM0-PMC-RSN,5420,kept,PMC
PM-UD_11689_001-BLM0-DMNX-RSN,2830,kept,DMNX
PM-UD_11406_001-BLM0-DMNX-RSN,2554,kept,DMNX
PM-UD_11353_001-BLM0-GPI-RSN,5116,kept,GPI
PM-UM_BEB18140-BLM0-PFC-RSN,6011,kept,PFC
PM-UM_HZC-BLM0-PMC-RSN,3960,kept,PMC
PM-UM_HCTYE-BLM0-PVC-RSN,2973,kept,PVC
PM-UM_HCTZZM-BLM0-PVC-RSN,6439,kept,PVC
PM-MS_38636-BLM0-DMNX-RSN,4202,kept,DMNX
PM-UD_11334_001-BLM0-PVC-RSN,6194,kept,PVC
PM-UM_HBRH-BLM0-GPI-RSN,4140,kept,GPI
PM-UM_HCTZZL-BLM0-PMC-RSN,4757,kept,PMC
PM-UD_11614_102-BLM0-DMNX-RSN,2890,kept,DMNX
PM-UM_HTM-BLM0-PFC-RSN,2635,kept,PFC
PM-UD_11701_001-BLM0-PFC-RSN,8383,kept,PFC
PM-UD_11466_001-BLM0-PFC-RSN,4269,kept,PFC
PM-UD_11604_001-BLM0-GPI-RSN,4703,kept,GPI
PM-UM_HCTIX-BLM0-DMNX-RSN,4721,kept,DMNX
PM-UD_11398_001-BLM0-DMNX-RSN,2390,kept,DMNX
PM-UD_1052_001-BLM0-PMC-RSN,4647,kept,PMC
PM-UD_11485_001-BLM0-PFC-RSN,6656,kept,PFC
PM-UM_BEB19139-BLM0-DMNX-RSN,5024,kept,DMNX
PM-UM_HBHE-BLM0-PVC-RSN,9500,kept,PVC
PM-UM_BEB18119-BLM0-GPI-RSN,2410,kept,GPI
PM-MS_30944-BLM0-DMNX-RSN,781,kept,DMNX
PM-MS_202387-BLM0-PFC-RSN,5915,kept,PFC
PM-UD_11406_001-BLM0-PMC-RSN,6602,kept,PMC
PM-UD_11353_001-BLM0-PVC-RSN,6694,kept,PVC
PM-UM_BEB20014-BLM0-GPI-RSN,7664,kept,GPI
PM-UM_HBRE-BLM0-DMNX-RSN,5371,kept,DMNX
PM-UM_HCTYE-BLM0-PFC-RSN,2322,kept,PFC
PM-UD_11689_001-BLM0-PVC-RSN,2435,kept,PVC
PM-UM_BEB19010-BLM0-PMC-RSN,5554,kept,PMC
PM-UM_BEB19108-BLM0-PVC-RSN,2749,kept,PVC
PM-UM_BEB20006-BLM0-GPI-RSN,3659,kept,GPI
